"Term ID","Term Name","Term Slug",thumbnails,"Parent ID"
119,"S 308",s-308,http://localhost/atom-wp/wp-content/uploads/models/cubot-s308.jpg,72
120,"One M8",one-m8,http://localhost/atom-wp/wp-content/uploads/models/htc-one-m8.jpg,73
121,"Honor 7X",honor-7x,http://localhost/atom-wp/wp-content/uploads/models/honor-7x.png,74
122,P9,p9,http://localhost/atom-wp/wp-content/uploads/models/p9.jpg,74
123,"Y6 II",y6-ii,http://localhost/atom-wp/wp-content/uploads/models/y6-ii.jpg,74
124,"Mate 9",mate-9,http://localhost/atom-wp/wp-content/uploads/models/mate-9.jpg,74
125,"Acsend G620S",acsend-g620s,http://localhost/atom-wp/wp-content/uploads/models/ascend-g620s.png,74
126,"P9 Lite",p9-lite,http://localhost/atom-wp/wp-content/uploads/models/p9-lite.jpg,74
127,"Honor 5A",honor-5a,http://localhost/atom-wp/wp-content/uploads/models/honor-5a.jpg,74
128,"Honor 7",honor-7,http://localhost/atom-wp/wp-content/uploads/models/honor-7.jpg,74
129,GR3,gr3,http://localhost/atom-wp/wp-content/uploads/models/gr-3.jpg,74
130,P10,p10,http://localhost/atom-wp/wp-content/uploads/models/p10.jpg,74
131,"Y3 II",y3-ii,http://localhost/atom-wp/wp-content/uploads/models/y3-ii.png,74
132,"P10 Plus",p10-plus,http://localhost/atom-wp/wp-content/uploads/models/p10-plus.jpg,74
133,GR5,gr5,http://localhost/atom-wp/wp-content/uploads/models/gr-5.png,74
134,Y330,y330,http://localhost/atom-wp/wp-content/uploads/models/y330.png,74
135,"Honor 5X",honor-5x,http://localhost/atom-wp/wp-content/uploads/models/honor-5x.png,74
136,"Honor 8",honor-8,http://localhost/atom-wp/wp-content/uploads/models/honor-8.jpg,74
137,"Mate 8",mate-8,http://localhost/atom-wp/wp-content/uploads/models/mate-8.jpg,74
138,"P8 Lite",p8-lite,http://localhost/atom-wp/wp-content/uploads/models/p8-lite.png,74
139,"P8 Lite (2017)",p8-lite-2017,http://localhost/atom-wp/wp-content/uploads/models/p8-lite-2017.jpg,74
140,P20,p20,http://localhost/atom-wp/wp-content/uploads/models/no-pictures.png,74
141,"P20 Pro",p20-pro,http://localhost/atom-wp/wp-content/uploads/models/no-pictures.png,74
142,"Y6 2018",y6-2018,http://localhost/atom-wp/wp-content/uploads/models/no-pictures.png,74
143,"Y7 2018",y7-2018,http://localhost/atom-wp/wp-content/uploads/models/no-pictures.png,74